book_id,publisher_id,author,title,primary_isbn10,date on bestseller,weeks_on_list,book_review_link,sunday_review_link
1990,310,A L Jackson,LOST TO YOU,1938404505,3/3/2013,0,NA,NA
1917,71,A S A Harrison,THE SILENT WIFE,,9/29/2013,0,NA,NA
1372,38,Aaron Allston,CONVICTION,345509102,6/12/2011,1,NA,NA
265,83,Abbi Glines,FALLEN TOO FAR,,3/31/2013,3,NA,NA
349,83,Abbi Glines,FOREVER TOO FAR,988301334,7/7/2013,2,NA,NA
351,83,Abbi Glines,TWISTED PERFECTION,988301326,5/19/2013,2,NA,NA
855,76,Abbi Glines,WHEN I'M GONE,1476776105,4/26/2015,1,NA,NA
903,76,Abbi Glines,YOU WERE MINE,1476776083,12/21/2014,1,NA,NA
944,76,Abbi Glines,ONE MORE CHANCE,,9/21/2014,1,NA,NA
1003,76,Abbi Glines,RUSH TOO FAR,1476775958,5/25/2014,1,NA,NA
1037,76,Abbi Glines,TAKE A CHANCE,1476756562,3/16/2014,1,NA,NA
1106,76,Abbi Glines,SIMPLE PERFECTION,1476756538,10/13/2013,1,NA,NA
1199,83,Abbi Glines,NEVER TOO FAR,,3/31/2013,1,NA,NA
2182,33,Abraham Verghese,CUTTING FOR STONE,375714367,9/4/2011,0,NA,https://www.nytimes.com/2009/02/08/books/review/Wagner-t.html
391,30,Ace Atkins,ROBERT B. PARKER'S OLD BLACK MAGIC,698413075,5/20/2018,1,NA,NA
543,30,Ace Atkins,ROBERT B. PARKER'S LITTLE WHITE LIES,698413067,5/21/2017,1,NA,NA
698,30,Ace Atkins,ROBERT B. PARKER'S SLOW BURN,,5/22/2016,1,NA,NA
1810,30,Ace Atkins,ROBERT B. PARKER'S CHEAP SHOT,,5/25/2014,0,NA,NA
2089,5,Ace Atkins,ROBERT B. PARKERâ€™S LULLABY,,5/20/2012,0,NA,NA
2091,5,Ace Atkins,ROBERT B. PARKER‰ÛªS LULLABY,,5/20/2012,0,NA,NA
206,68,Addison Moore,SOMEONE TO LOVE,1624300006,2/10/2013,4,NA,NA
522,21,Adriana Trigiani,KISS CARLO,62319221,7/9/2017,1,NA,NA
1081,21,Adriana Trigiani,THE SUPREME MACARONI COMPANY,,12/15/2013,1,NA,NA
1292,224,Adriana Trigiani,THE SHOEMAKERâ€™S WIFE,62098063,4/22/2012,1,NA,NA
1294,224,Adriana Trigiani,THE SHOEMAKER‰ÛªS WIFE,62098063,4/22/2012,1,NA,NA
1582,21,Adriana Trigiani,ALL THE STARS IN THE HEAVENS,62319213,11/1/2015,0,NA,NA
390,21,Aimee Molloy,THE PERFECT MOTHER,62696815,5/20/2018,1,NA,NA
33,22,AJ Finn,THE WOMAN IN THE WINDOW,62678418,5/6/2018,15,NA,NA
435,23,Alan Bradley,THE GRAVE'S A FINE AND PRIVATE PLACE,345540018,2/18/2018,1,NA,NA
640,38,Alan Bradley,THRICE THE BRINDED CAT HATH MEW'D,345539982,10/9/2016,1,NA,NA
1065,23,Alan Bradley,THE DEAD IN THEIR VAULTED ARCHES,,2/2/2014,1,NA,NA
1715,23,Alan Bradley,AS CHIMNEY SWEEPERS COME TO DUST,345539958,1/25/2015,0,NA,NA
319,92,Alan Dean Foster,THE FORCE AWAKENS,1101965495,1/31/2016,2,NA,NA
685,38,Alan Furst,A HERO OF FRANCE,81299650,6/19/2016,1,https://www.nytimes.com/2016/06/05/books/review/alan-fursts-a-hero-of-france.html,NA
990,38,Alan Furst,MIDNIGHT IN EUROPE,679604235,6/22/2014,1,NA,https://www.nytimes.com/2014/07/20/books/review/midnight-in-europe-by-alan-furst.html
1274,40,Alan Furst,MISSION TO PARIS,679604227,7/1/2012,1,https://www.nytimes.com/2012/06/04/books/mission-to-paris-by-alan-furst.html,https://www.nytimes.com/2012/06/24/books/review/mission-to-paris-by-alan-furst.html
595,141,Aleatha Romig,FIDELITY,996839445,2/5/2017,1,NA,NA
324,75,Alessandra Torre,HOLLYWOOD DIRT,,10/4/2015,2,NA,NA
1474,75,Alessandra Torre,MOONSHOT,1940941776,7/24/2016,0,NA,NA
432,30,Alex Berenson,THE DECEIVERS,698407539,2/25/2018,1,NA,NA
742,30,Alex Berenson,THE WOLVES,,2/28/2016,1,NA,NA
881,30,Alex Berenson,TWELVE DAYS,,3/1/2015,1,NA,NA
1045,30,Alex Berenson,THE COUNTERFEIT AGENT,,3/2/2014,1,NA,NA
1392,5,Alex Berenson,THE SECRET SOLDIER,,2/27/2011,1,NA,https://www.nytimes.com/2011/02/27/books/review/Pruzan-t.html
2113,5,Alex Berenson,THE SHADOW PATROL,,3/11/2012,0,NA,NA
459,125,Alexander McCall Smith,THE HOUSE OF UNEXPECTED SISTERS,1101871385,11/26/2017,1,NA,NA
628,125,Alexander McCall Smith,PRECIOUS AND GRACE,1101871369,10/30/2016,1,NA,NA
775,125,Alexander McCall Smith,THE WOMAN WHO WALKED IN SUNSHINE,,11/15/2015,1,NA,NA
918,125,Alexander McCall Smith,THE HANDSOME MAN'S DE LUXE CAFÌä,,11/16/2014,1,NA,NA
1086,125,Alexander McCall Smith,THE MINOR ADJUSTMENT BEAUTY SALON,,11/24/2013,1,NA,NA
1291,13,Alexander McCall Smith,THE LIMPOPO ACADEMY OF PRIVATE DETECTION,307378403,4/22/2012,1,NA,NA
1384,33,Alexander McCall Smith,THE SATURDAY BIG TENT WEDDING PARTY,30737839,4/10/2011,1,NA,NA
981,74,Alice Clayton,RUSTY NAILED,,7/13/2014,1,NA,NA
468,45,Alice Hoffman,THE RULES OF MAGIC,1501137492,10/29/2017,1,https://www.nytimes.com/2017/10/24/books/review/alice-hoffman-rules-of-magic-prequel.html,NA
1570,257,Alice Hoffman,SEVENTH HEAVEN,1453206361,12/6/2015,0,https://www.nytimes.com/1990/08/10/books/books-of-the-times-recalling-suburban-life-in-the-50-s.html,https://www.nytimes.com/1990/08/05/books/trouble-on-hemlock-street.html
1621,45,Alice Hoffman,THE MARRIAGE OF OPPOSITES,1451693613,8/23/2015,0,NA,https://www.nytimes.com/2015/08/16/books/review/the-marriage-of-opposites-by-alice-hoffman.html
2157,45,Alice Hoffman,THE DOVEKEEPERS,1451617496,11/6/2011,0,NA,https://www.nytimes.com/2011/10/23/books/review/the-dovekeepers-by-alice-hoffman-book-review.html
571,4,Allison Brennan,MAKE THEM PAY,1250105277,3/26/2017,1,NA,NA
618,53,Allison Brennan,THE LOST GIRLS,1250105102,11/20/2016,1,NA,NA
1573,85,Allison Brennan,NO GOOD DEED,1466870036,11/22/2015,0,NA,NA
1703,127,Allison Pataki,THE ACCIDENTAL EMPRESS,,3/8/2015,0,NA,NA
385,9,Amanda Quick,THE OTHER LADY VANISHES,399585338,5/27/2018,1,NA,NA
540,9,Amanda Quick,THE GIRL WHO KNEW TOO MUCH,698193628,5/28/2017,1,NA,NA
708,9,Amanda Quick,'TIL DEATH DO US PART,69819361,5/8/2016,1,NA,NA
848,30,Amanda Quick,GARDEN OF LIES,1101621044,5/10/2015,1,NA,NA
1014,30,Amanda Quick,OTHERWISE ENGAGED,,5/11/2014,1,NA,NA
1179,30,Amanda Quick,THE MYSTERY WOMAN,,5/12/2013,1,NA,NA
1284,30,Amanda Quick,CRYSTAL GARDENS,,5/13/2012,1,NA,NA
1379,5,Amanda Quick,QUICKSILVER,,5/8/2011,1,NA,NA
2034,5,Amor Towles,RULES OF CIVILITY,,10/7/2012,0,NA,https://www.nytimes.com/2011/08/14/books/review/rules-of-civility-by-amor-towles-book-review.html
1161,218,Amy Harmon,A DIFFERENT BLUE,,6/16/2013,1,NA,NA
256,28,Amy Tan,THE VALLEY OF AMAZEMENT,62107313,12/8/2013,3,NA,https://www.nytimes.com/2013/11/10/books/review/amy-tans-valley-of-amazement.html
641,30,Amy Tan,THE BONESETTER'S DAUGHTER,,10/9/2016,1,NA,NA
106,44,Andy Weir,ARTEMIS,553448129,1/7/2018,6,NA,NA
1510,44,Andy Weir,THE MARTIAN,,5/8/2016,0,NA,NA
1770,281,Angela Graham,INDESTRUCTIBLE,,8/31/2014,0,NA,NA
550,31,Anita Shreve,THE STARS ARE FIRE,385350910,5/7/2017,1,NA,NA
1364,38,Ann Brashares,SISTERHOOD EVERLASTING,679605096,7/3/2011,1,NA,NA
1171,14,Ann Patchett,THE MAGICIAN'S ASSISTANT,547548796,5/26/2013,1,NA,https://www.nytimes.com/1997/11/16/books/sleight-of-hand.html
1425,54,Ann Patchett,COMMONWEALTH,62491814,11/20/2016,0,https://www.nytimes.com/2016/09/18/books/review/ann-patchett-commonwealth.html,NA
2186,47,Ann Patchett,STATE OF WONDER,62049828,8/14/2011,0,https://www.nytimes.com/2011/06/02/books/state-of-wonder-by-ann-patchett-book-review.html,https://www.nytimes.com/2011/06/19/books/review/book-review-state-of-wonder-by-ann-patchett.html
1513,38,Anna Quindlen,MILLER'S VALLEY,812996089,5/1/2016,0,https://www.nytimes.com/2016/04/03/books/review/millers-valley-by-anna-quindlen.html,NA
1839,38,Anna Quindlen,STILL LIFE WITH BREAD CRUMBS,812995759,3/30/2014,0,NA,https://www.nytimes.com/2014/02/09/books/review/anna-quindlens-still-life-with-bread-crumbs.html
570,77,Anne Bishop,ETCHED IN BONE,698190459,3/26/2017,1,NA,NA
732,77,Anne Bishop,MARKED IN FLESH,698190424,3/27/2016,1,NA,NA
405,21,Anne Hillerman,CAVE OF BONES,62391941,4/22/2018,1,NA,NA
