publisher,publisher_id
Riverhead,1
Scribner,2
Vintage,3
St. Martin's,4
Penguin Group,5
Washington Square,6
Andrews McMeel,7
Bantam,8
Berkley,9
Ballantine,10
Scout,11
Penguin Press,12
Knopf Doubleday Publishing,13
Houghton Mifflin Harcourt,14
Doubleday,15
Grand Central,16
Broadway,17
Dell,18
Forge Books,19
Entangled Publishing,20
Harper,21
Morrow,22
Delacorte,23
Windblown Media,24
"Sarah Crichton/Farrar, Straus & Giroux",25
Delacorte Press,26
Darcie Chan,27
Ecco/HarperCollins,28
"Little, Brown",29
Putnam,30
Knopf,31
"Little, Brown & Company",32
Knopf Doubleday,33
Viking,34
Flatiron,35
Tracey Garvis-Graves,36
Algonquin,37
Random House,38
Picador,39
Random House Publishing,40
Rachel Van Dyken,41
Colleen Hoover,42
Atria Books,43
Crown,44
Simon & Schuster,45
Norton,46
HarperCollins,47
Harlequin,48
Dutton,49
Emily Bestler/Atria,50
"Mulholland/Little, Brown",51
Pamela Dorman/Viking,52
Morrow/HarperCollins,53
Harper/HarperCollins,54
Marian Wood/Putnam,55
Barbara Freethy,56
Witness Impulse/HarperCollins,57
Grand Central Publishing,58
Legacy,59
Atria/Emily Bestler,60
Pocket Books,61
St. Martin's Griffin,62
Penelope Ward,63
Soho Press,64
Laree Bailey,65
Harlequin Mira,66
Jasinda Wilder,67
Addison Moore,68
Jessica Sorensen,69
Mira,70
Penguin,71
Tor,72
Zebra,73
Gallery Books,74
EverAfter Romance,75
Atria,76
Roc,77
Helen Cooper,78
Gail McHugh,79
Hard Case Crime,80
Broad Reach Publishing,81
Tor/Tom Doherty Associates,82
Abbi Glines,83
Elisabeth Naughton,84
Minotaur,85
HQN,86
St. Martinâ€™s,87
Tijan,88
Lauren Blakely,89
Anchor,90
Touchstone,91
Lucasbooks,92
Del Rey,93
"Farrar, Straus & Giroux",94
CreateSpace,95
Metal Blonde,96
Melanie Marchande,97
Tor/Tom Doherty,98
J.C. Reed,99
Birch Paper Press,100
Georgia Cates,101
Courtney Cole,102
Raine Miller,103
Berkley Books,104
St. Martinâ€™s Press,105
P. J. Alderman,106
Gallery,107
C. Scott Publishing,108
Red Dress Press,109
Susan Stoker,110
Ace,111
Oak Press,112
C. Scott,113
Avon,114
Red Dress,115
Atlantic Monthly,116
Kensington,117
BAAE,118
Waterhouse,119
Dial,120
Tyndale House,121
Vi Keeland,122
Heidi McLaughlin,123
Orbit,124
Pantheon,125
Kristen Ashley,126
Howard Books,127
Flatiron Books,128
Atria/Keywords,129
BookShots,130
Random House Publishing Group,131
Howard,132
Cemetery Dance,133
Penelope Sky,134
Ampersand,135
Valkyrie,136
Waterhouse Press,137
Jove,138
Golden Unicorn Enterprises,139
genreCrave,140
Romig Works,141
Henry Holt,142
Signet,143
Avon Impulse,144
DLZ Entertainment,145
Emma Chase,146
Elle Kennedy,147
Avon/HarperCollins,148
Nan A. Talese/Doubleday,149
Jamie McGuire,150
Blue Bolt,151
Witness Impulse,152
New American Library,153
Kendall Ryan,154
Aurora Rose Reynolds,155
Denise Grover Swank,156
St. Martin's Press,157
Valkyrie Press,158
InterMix,159
Loveswept,160
Crown Archetype,161
Forever,162
Harper Perennial/HarperCollins,163
Kingswell,164
Carina,165
JMC Creations,166
HTJB,167
Dutton/Penguin Publishing Group,168
Zebra/Mulholland,169
NAL,170
Sydney Landon,171
Hoover Ink,172
Rerum Industries,173
Julia Kent,174
Pepper Winters,175
Holt,176
Forever/Grand Central,177
Pocket Star,178
Science Future Press,179
Harper Sloan,180
Zebra/Kensington,181
Deborah Bladon,182
DAW,183
Bella Andre,184
Ellora's Cave,185
Harper Voyager,186
Loveswept/Random House,187
Laurelin Paige,188
J. Daniels,189
Various publishers,190
Meredith Wild,191
H. M. Ward,192
Whitney Williams,193
Mia Sheridan,194
Golden Unicorn,195
Smashwords,196
SOS Ladies,197
Berkley Sensation,198
Carina Press,199
Harper Perennial,200
JKB,201
Debbie Macomber Books,202
HarperVoyager,203
H. M. Ward Press,204
Vintage Crime/Black Lizard,205
Copper Key Media,206
Laurens Publishing,207
Sprigleaf,208
Sandi Lynn,209
Gossamer,210
Knopf/McSweeney‰Ûªs,211
Hyperion,212
Jen McLaughlin,213
Bloomsbury,214
Maya Cross,215
Ecila Media,216
Novelty Books,217
Amy Harmon,218
Omnific,219
Sourcebooks Landmark,220
Sourcebooks,221
The Indie Voice,222
Katie Ashley,223
HarperCollins Publishers,224
Tyndale House Publishers,225
Marie Force,226
Shanora Williams,227
Hyperion Press,228
Kensington Publishing,229
Zondervan,230
Henry Holt & Company,231
Elloraâ€™s Cave Publishing,232
Crown Publishing,233
Elloraâ€™s Cave,234
Tom Doherty Associates,235
Center Street,236
Threshold Editions,237
Paragon Press,238
Thorndike,239
Doherty,240
Dial Press,241
Crown/Archetype,242
Ilona Andrews,243
Plain Jane,244
Rutherford,245
Baen Books,246
KT Publishing,247
Flip City Media,248
CP Publishing,249
Fine Line,250
Thomas Nelson,251
Europa Editions,252
Ballatine,253
ePublishing Works!,254
Mariner,255
Silhouette,256
Open Road Media,257
DGS,258
Forge,259
Pitch73,260
Story Ink,261
Evil Eye Concepts,262
Amy Einhorn/Putnam,263
JA / AG Publishing,264
7th House,265
J. S. Cooper,266
Helena Hunting,267
ERH Press,268
Spiegel & Grau,269
Liliana Hart,270
Pocket,271
Knopf Doubleday Publishing Group,272
Vision,273
J.S. Cooper,274
WGW,275
Latin Goddess Press,276
Lisa Renee Jones,277
Kelley R. Martin,278
Plume,279
Victoria Ashley,280
Angela Graham,281
Uncommonly Romantic Books,282
Violet Duke,283
Harlequin HQN,284
S.L. Jennings,285
Stacy Borel,286
J.B. Salsbury,287
Black Oak Books,288
Atlantic Monthly Press,289
Tyndale,290
Excessica,291
Tawny Weber,292
Steel Magnolia Press,293
Entangled: Brazen,294
Laree Bailey Press,295
Kelly Elliott,296
"HTJB, Inc.",297
Nicole Edwards,298
Algonquin Books,299
William Morrow Impulse,300
Kathleen Brooks,301
Indie Six,302
Hugh Howey,303
Seth Clarke,304
Spencer Hill Contemporary,305
"Reagan Arthur/Little, Brown",306
Cassia Leo,307
M. Leighton,308
Katy Evans,309
Sapphire Star Publishing,310
Revell,311
FaithWords,312
Raine Miller Romance,313
Samhain Publishing,314
Laurann Dohner,315
Cora Carmack,316
S.H. Kolee,317
Rerum Publishing House,318
Catherine Bybee,319
Chris Culver,320
Wizards of the Coast,321
Tom Doherty,322
Bethany House,323
Michael Prescott,324
Courtney Milan,325
Recorded Books,326
Penwyck,327
